,Timeline,Covid-19 impact,Country
0,1/22/20,1,Mainland China
1,1/23/20,9,Mainland China
2,1/24/20,15,Mainland China
3,1/25/20,39,Mainland China
4,1/26/20,60,Mainland China
5,1/27/20,70,Mainland China
6,1/28/20,106,Mainland China
7,1/29/20,152,Mainland China
8,1/30/20,200,Mainland China
9,1/31/20,237,Mainland China
10,2/1/20,297,Mainland China
11,2/2/20,340,Mainland China
12,2/3/20,408,Mainland China
13,2/4/20,480,Mainland China
14,2/5/20,530,Mainland China
15,2/6/20,591,Mainland China
16,2/7/20,665,Mainland China
17,2/8/20,733,Mainland China
18,2/9/20,779,Mainland China
19,2/10/20,830,Mainland China
20,2/11/20,860,Mainland China
21,2/12/20,889,Mainland China
22,2/13/20,910,Mainland China
23,2/14/20,934,Mainland China
24,2/15/20,950,Mainland China
25,2/16/20,962,Mainland China
26,2/17/20,973,Mainland China
27,2/18/20,982,Mainland China
28,2/19/20,986,Mainland China
29,2/20/20,987,Mainland China
30,2/21/20,988,Mainland China
31,2/22/20,989,Mainland China
32,2/23/20,989,Mainland China
33,2/24/20,989,Mainland China
34,2/25/20,989,Mainland China
35,2/26/20,989,Mainland China
36,2/27/20,989,Mainland China
37,2/28/20,990,Mainland China
38,2/29/20,990,Mainland China
39,3/1/20,990,Mainland China
40,3/2/20,990,Mainland China
41,3/3/20,990,Mainland China
42,1/22/20,14,Mainland China
43,1/23/20,22,Mainland China
44,1/24/20,36,Mainland China
45,1/25/20,41,Mainland China
46,1/26/20,68,Mainland China
47,1/27/20,80,Mainland China
48,1/28/20,91,Mainland China
49,1/29/20,111,Mainland China
50,1/30/20,114,Mainland China
51,1/31/20,139,Mainland China
52,2/1/20,168,Mainland China
53,2/2/20,191,Mainland China
54,2/3/20,212,Mainland China
55,2/4/20,228,Mainland China
56,2/5/20,253,Mainland China
57,2/6/20,274,Mainland China
58,2/7/20,297,Mainland China
59,2/8/20,315,Mainland China
60,2/9/20,326,Mainland China
61,2/10/20,337,Mainland China
62,2/11/20,342,Mainland China
63,2/12/20,352,Mainland China
64,2/13/20,366,Mainland China
65,2/14/20,372,Mainland China
66,2/15/20,375,Mainland China
67,2/16/20,380,Mainland China
68,2/17/20,381,Mainland China
69,2/18/20,387,Mainland China
70,2/19/20,393,Mainland China
71,2/20/20,395,Mainland China
72,2/21/20,396,Mainland China
73,2/22/20,399,Mainland China
74,2/23/20,399,Mainland China
75,2/24/20,399,Mainland China
76,2/25/20,400,Mainland China
77,2/26/20,400,Mainland China
78,2/27/20,410,Mainland China
79,2/28/20,410,Mainland China
80,2/29/20,411,Mainland China
81,3/1/20,413,Mainland China
82,3/2/20,414,Mainland China
83,3/3/20,414,Mainland China
84,1/22/20,6,Mainland China
85,1/23/20,9,Mainland China
86,1/24/20,27,Mainland China
87,1/25/20,57,Mainland China
88,1/26/20,75,Mainland China
89,1/27/20,110,Mainland China
90,1/28/20,132,Mainland China
91,1/29/20,147,Mainland China
92,1/30/20,182,Mainland China
93,1/31/20,211,Mainland China
94,2/1/20,247,Mainland China
95,2/2/20,300,Mainland China
96,2/3/20,337,Mainland China
97,2/4/20,366,Mainland China
98,2/5/20,389,Mainland China
99,2/6/20,411,Mainland China
100,2/7/20,426,Mainland China
101,2/8/20,428,Mainland China
102,2/9/20,468,Mainland China
103,2/10/20,486,Mainland China
104,2/11/20,505,Mainland China
105,2/12/20,518,Mainland China
106,2/13/20,529,Mainland China
107,2/14/20,537,Mainland China
108,2/15/20,544,Mainland China
109,2/16/20,551,Mainland China
110,2/17/20,553,Mainland China
111,2/18/20,555,Mainland China
112,2/19/20,560,Mainland China
113,2/20/20,567,Mainland China
114,2/21/20,572,Mainland China
115,2/22/20,573,Mainland China
116,2/23/20,575,Mainland China
117,2/24/20,576,Mainland China
118,2/25/20,576,Mainland China
119,2/26/20,576,Mainland China
120,2/27/20,576,Mainland China
121,2/28/20,576,Mainland China
122,2/29/20,576,Mainland China
123,3/1/20,576,Mainland China
124,3/2/20,576,Mainland China
125,3/3/20,576,Mainland China
126,1/22/20,1,Mainland China
127,1/23/20,5,Mainland China
128,1/24/20,10,Mainland China
129,1/25/20,18,Mainland China
130,1/26/20,35,Mainland China
131,1/27/20,59,Mainland China
132,1/28/20,80,Mainland China
133,1/29/20,84,Mainland China
134,1/30/20,101,Mainland China
135,1/31/20,120,Mainland China
136,2/1/20,144,Mainland China
137,2/2/20,159,Mainland China
138,2/3/20,179,Mainland China
139,2/4/20,194,Mainland China
140,2/5/20,205,Mainland China
141,2/6/20,215,Mainland China
142,2/7/20,224,Mainland China
143,2/8/20,239,Mainland China
144,2/9/20,250,Mainland China
145,2/10/20,261,Mainland China
146,2/11/20,267,Mainland China
147,2/12/20,272,Mainland China
148,2/13/20,279,Mainland China
149,2/14/20,281,Mainland China
150,2/15/20,285,Mainland China
151,2/16/20,287,Mainland China
152,2/17/20,290,Mainland China
153,2/18/20,292,Mainland China
154,2/19/20,293,Mainland China
155,2/20/20,293,Mainland China
156,2/21/20,293,Mainland China
157,2/22/20,293,Mainland China
158,2/23/20,293,Mainland China
159,2/24/20,293,Mainland China
160,2/25/20,294,Mainland China
161,2/26/20,294,Mainland China
162,2/27/20,296,Mainland China
163,2/28/20,296,Mainland China
164,2/29/20,296,Mainland China
165,3/1/20,296,Mainland China
166,3/2/20,296,Mainland China
167,3/3/20,296,Mainland China
168,1/22/20,0,Mainland China
169,1/23/20,2,Mainland China
170,1/24/20,2,Mainland China
171,1/25/20,4,Mainland China
172,1/26/20,7,Mainland China
173,1/27/20,14,Mainland China
174,1/28/20,19,Mainland China
175,1/29/20,24,Mainland China
176,1/30/20,26,Mainland China
177,1/31/20,29,Mainland China
178,2/1/20,40,Mainland China
179,2/2/20,51,Mainland China
180,2/3/20,55,Mainland China
181,2/4/20,57,Mainland China
182,2/5/20,62,Mainland China
183,2/6/20,62,Mainland China
184,2/7/20,67,Mainland China
185,2/8/20,79,Mainland China
186,2/9/20,83,Mainland China
187,2/10/20,83,Mainland China
188,2/11/20,86,Mainland China
189,2/12/20,87,Mainland China
190,2/13/20,90,Mainland China
191,2/14/20,90,Mainland China
192,2/15/20,90,Mainland China
193,2/16/20,90,Mainland China
194,2/17/20,91,Mainland China
195,2/18/20,91,Mainland China
196,2/19/20,91,Mainland China
197,2/20/20,91,Mainland China
198,2/21/20,91,Mainland China
199,2/22/20,91,Mainland China
200,2/23/20,91,Mainland China
201,2/24/20,91,Mainland China
202,2/25/20,91,Mainland China
203,2/26/20,91,Mainland China
204,2/27/20,91,Mainland China
205,2/28/20,91,Mainland China
206,2/29/20,91,Mainland China
207,3/1/20,91,Mainland China
208,3/2/20,91,Mainland China
209,3/3/20,91,Mainland China
210,1/22/20,26,Mainland China
211,1/23/20,32,Mainland China
212,1/24/20,53,Mainland China
213,1/25/20,78,Mainland China
214,1/26/20,111,Mainland China
215,1/27/20,151,Mainland China
216,1/28/20,207,Mainland China
217,1/29/20,277,Mainland China
218,1/30/20,354,Mainland China
219,1/31/20,436,Mainland China
220,2/1/20,535,Mainland China
221,2/2/20,632,Mainland China
222,2/3/20,725,Mainland China
223,2/4/20,813,Mainland China
224,2/5/20,895,Mainland China
225,2/6/20,970,Mainland China
226,2/7/20,1034,Mainland China
227,2/8/20,1095,Mainland China
228,2/9/20,1131,Mainland China
229,2/10/20,1159,Mainland China
230,2/11/20,1177,Mainland China
231,2/12/20,1219,Mainland China
232,2/13/20,1241,Mainland China
233,2/14/20,1261,Mainland China
234,2/15/20,1294,Mainland China
235,2/16/20,1316,Mainland China
236,2/17/20,1322,Mainland China
237,2/18/20,1328,Mainland China
238,2/19/20,1331,Mainland China
239,2/20/20,1332,Mainland China
240,2/21/20,1333,Mainland China
241,2/22/20,1339,Mainland China
242,2/23/20,1342,Mainland China
243,2/24/20,1345,Mainland China
244,2/25/20,1347,Mainland China
245,2/26/20,1347,Mainland China
246,2/27/20,1347,Mainland China
247,2/28/20,1348,Mainland China
248,2/29/20,1349,Mainland China
249,3/1/20,1349,Mainland China
250,3/2/20,1350,Mainland China
251,3/3/20,1350,Mainland China
252,1/22/20,2,Mainland China
253,1/23/20,5,Mainland China
254,1/24/20,23,Mainland China
255,1/25/20,23,Mainland China
256,1/26/20,36,Mainland China
257,1/27/20,46,Mainland China
258,1/28/20,51,Mainland China
259,1/29/20,58,Mainland China
260,1/30/20,78,Mainland China
261,1/31/20,87,Mainland China
262,2/1/20,100,Mainland China
263,2/2/20,111,Mainland China
